company,title,description,location,started,finished
bluelemons,Programador en Ruby,"Diseño y desarrollo de aplicaciones web, utilizando Ruby on Rails.",,Jan 2009,
EEMPA 1316 - Anexo NaranPol,Profesor de Matemática,Profesor de matemática en la escuela de adultos que funciona dentro de la fábrica recuperada de NaranPol.,"Santa Fe, Argentina",Mar 2016,
Inaka - an Erlang Solutions company,Ruby developer,"Ruby development, mainly Ruby on Rails.",Argentina,Jan 2016,Mar 2017
"Escuela de Enseñanza Técnica ""Cecilia Grierson"" Nº 508",Profesor de Matemática,Profesor Titular de Matemática en primer año.,"Santa Fe, Argentina",Mar 2014,Apr 2016
Altoros Systems,Programador en Ruby,Worked on several projects mainly on Ruby on Rails.,Argentina,Dec 2012,Dec 2015
"Escuela ""Almirante G. Brown""",Profesor de Matemática,Profesor de matemática en un 2do año.,,Aug 2012,Apr 2014
"Escuela ""La Cecilia""",Profesor de matemática,,,Apr 2010,Jan 2013
"Escuela ""Victoriano Montes""",Profesor de matemática,Profesor de Matemática en primer año. (+30 alumnos),,Aug 2012,Dec 2012
