name
Ruby
Ruby on Rails
Git
Programming
Teaching
Vim
Research
GNU/Linux
Test Driven Development
JavaScript
Test Automation
Public Speaking
Web Development
Debian
Object Oriented Design
Software Development
jQuery Mobile
General Awesomeness
HTML5
Tutoring
Educational Leadership
Classroom Management
PowerPoint
ETL
Bash
Microsoft Office
Microsoft Word
Curriculum Design
Zsh
Learning
Programación
Agile Methodologies
Node.js
Customer Service
Educational Technology
Staff Development
Desarrollo de software
Haskell
JSON
